dataset,classifier,mean_accuracy,std_deviation,mean_train_time,mean_test_time
annealing,extratree0,0.96865566037735851,0.015354632986926325,0.0010271999999999948,0.0060049999999999938
annealing,svm05,0.99250000000000005,0.014999999999999991,0.020542399999999995,0.0061848000000000016
annealing,extratree2,0.95867924528301884,0.021833891215831822,0.0010542000000000051,0.0059321999999999656
annealing,svm20,0.99625000000000008,0.0075000000000000179,0.036907599999999999,0.0061201999999999758
annealing,svm01,0.98999999999999999,0.014577379737113242,0.0095076000000000153,0.0061538000000000313
annealing,svm25,0.99625000000000008,0.0075000000000000179,0.036609999999999941,0.0061004000000000284
annealing,extratree1,0.97621855345911945,0.019507535368610482,0.00097260000000005671,0.0059432000000000148
annealing,tree0,0.98624213836477992,0.015508298510569462,0.0051356000000000622,0.0059651999999999813
annealing,extratree3,0.96745283018867911,0.019894178208936283,0.0010219999999999895,0.0059489999999999821
annealing,svm0,0.99625000000000008,0.0075000000000000179,0.026159799999999976,0.0060949999999999616
annealing,svm30,0.99625000000000008,0.0075000000000000179,0.036478799999999992,0.0061955999999999452
annealing,svm15,0.99625000000000008,0.0075000000000000179,0.034622399999999984,0.006217400000000017
annealing,treerandomentropy,0.98749213836477989,0.013106371610059805,0.0045071999999999777,0.0059876000000000044
annealing,svm10,0.99625000000000008,0.0075000000000000179,0.030070199999999981,0.0065539999999999488
annealing,nb3,0.9774606918238995,0.0074673368754245625,0.031623200000000032,0.051122799999999913
annealing,nb2,0.98123427672955987,0.011162763505102298,0.03243840000000011,0.051262000000000009
annealing,nb1,0.9812264150943395,0.0088166267429174473,0.032143200000000059,0.051464599999999992
annealing,nb0,0.98499213836477983,0.011586098075058802,0.0031575999999999384,0.051439600000000051
annealing,nb7,0.98123427672955987,0.011162763505102298,0.032475200000000107,0.051372400000000165
annealing,nb6,0.9774606918238995,0.011587943643211618,0.030855000000000032,0.051183599999999885
annealing,nb5,0.9812264150943395,0.010439487876516128,0.03028700000000022,0.05109980000000007
annealing,nb4,0.97996855345911948,0.0091599555246841841,0.033348799999999915,0.051386400000000165
annealing,knn9,0.97246069182389938,0.015113768287610728,0.002650000000000219,0.072483599999999801
annealing,knn8,0.97369496855345905,0.0072592910994343151,0.0024864000000000886,0.07185740000000003
annealing,knn5,0.97871855345911951,0.015092161137344722,0.0024826000000000904,0.069999799999999904
annealing,knn7,0.97371069182389935,0.010734785817960862,0.0024753999999999722,0.071922799999999759
annealing,knn1,0.98496069182389934,0.0085070594519938616,0.0024786000000000643,0.06347180000000012
annealing,knn0,0.97871855345911951,0.015092161137344722,0.002477600000000457,0.070343399999999792
annealing,knn3,0.97996855345911948,0.012099784511064327,0.0024801999999999325,0.068244800000000258
annealing,knn2,0.96992924528301894,0.012110593250938644,0.002493600000000029,0.066964000000000107
annealing,t8,0.94863207547169814,0.015557288215025005,0.029080399999999784,0.005970599999999493
annealing,t9,0.96247641509433957,0.03136068862491441,0.029958200000000091,0.0059860000000000468
annealing,t6,0.96117138364779875,0.012709334539889089,0.0284316000000004,0.0059684000000000733
annealing,t7,0.958687106918239,0.016066285939404713,0.029078599999999712,0.0060150000000000151
annealing,t4,0.95490566037735858,0.021766842089300974,0.030356399999999794,0.0059933999999998381
annealing,t5,0.96493710691823897,0.012228520246077453,0.028029599999999988,0.0060600000000000879
annealing,t2,0.95109276729559755,0.022978477167957569,0.030051200000000122,0.0059791999999998071
annealing,t3,0.95867924528301884,0.024521918517065627,0.02782340000000012,0.0059741999999999964
annealing,t0,0.96618710691823895,0.024219877442141803,0.029603200000000031,0.0059663999999997937
annealing,t1,0.96490566037735859,0.022962131400679812,0.029293200000000397,0.005965399999999477
annealing,treerandomgini,0.98874213836477998,0.01074926187554439,0.0049294000000003283,0.0059580000000003961
annealing,treebestentropy,0.98874999999999991,0.013919410907075059,0.0045934000000002586,0.0059817999999999929
annealing,treebestgini,0.99124999999999996,0.0093541434669348576,0.0051337999999994111,0.0059597999999997601
annealing,tree7_simple_ensemble,0.98999999999999999,0.014031215200402273,0.021903800000000473,0.04477159999999962
annealing,tree7_weighted_ensemble,0.99124999999999996,0.012247448713915889,0.021867600000000209,0.069746399999999653
annealing,nb7_simple_ensemble,0.98373427672955971,0.010139571264261875,0.21502080000000062,0.36476299999999995
annealing,nb7_weighted_ensemble,0.98373427672955971,0.010139571264261875,0.21550180000000055,0.39014079999999962
annealing,extraforest_simple_ensemble,0.98372641509433956,0.012252352815659607,0.29092140000000055,0.063854999999999509
annealing,extraforest_weighted_ensemble,0.98998427672955969,0.0084826060404297222,0.29037540000000134,0.099103599999999403
annealing,mix_default_simple_ensemble,0.99625000000000008,0.0075000000000000179,0.040451000000000195,0.14858819999999895
annealing,mix_default_weighted_ensemble,0.99499999999999988,0.0072886898685566416,0.040482800000000194,0.16866860000000017
annealing,svm7_simple_ensemble,0.99625000000000008,0.0075000000000000179,0.20102120000000029,0.046090600000000134
annealing,svm7_weighted_ensemble,0.99625000000000008,0.0075000000000000179,0.20047019999999946,0.071199800000000119
annealing,knn7_simple_ensemble,0.98372641509433956,0.010160962037100721,0.017518000000001165,0.48927480000000118
annealing,knn7_weighted_ensemble,0.98372641509433956,0.010160962037100721,0.017344000000000647,0.51541500000000084
