dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,knn,ratiorange,111,0.00781,687,0.47802,192512,0.88646,2,80,0.972972972972973,0.45
annealing,knn,ratiorange,111,0.00781,687,0.47802,192512,0.88646,U,28,1.0,0.35714285714285715
annealing,knn,ratiorange,111,0.00781,687,0.47802,192512,0.88646,4,0,,
annealing,knn,ratiorange,111,0.00781,687,0.47802,192512,0.88646,5,51,1.0,0.8431372549019608
annealing,knn,ratiorange,119,0.0085,679,0.47608,204800,0.89691,1,7,,0.0
annealing,knn,ratiorange,119,0.0085,679,0.47608,204800,0.89691,3,516,0.8818493150684932,0.998062015503876
annealing,knn,ratiorange,119,0.0085,679,0.47608,204800,0.89691,2,79,0.96875,0.3924050632911392
annealing,knn,ratiorange,119,0.0085,679,0.47608,204800,0.89691,U,27,1.0,0.6666666666666666
annealing,knn,ratiorange,119,0.0085,679,0.47608,204800,0.89691,4,0,,
annealing,knn,ratiorange,119,0.0085,679,0.47608,204800,0.89691,5,50,1.0,0.9
annealing,knn,ratiorange,127,0.00888,671,0.49414,217088,0.89717,1,6,,0.0
annealing,knn,ratiorange,127,0.00888,671,0.49414,217088,0.89717,3,510,0.8848167539267016,0.9941176470588236
annealing,knn,ratiorange,127,0.00888,671,0.49414,217088,0.89717,2,79,0.9696969696969697,0.4050632911392405
annealing,knn,ratiorange,127,0.00888,671,0.49414,217088,0.89717,U,27,0.9047619047619048,0.7037037037037037
annealing,knn,ratiorange,127,0.00888,671,0.49414,217088,0.89717,4,0,,
annealing,knn,ratiorange,127,0.00888,671,0.49414,217088,0.89717,5,49,1.0,0.8979591836734694
annealing,knn,ratiorange,135,0.00952,663,0.47179,233472,0.91252,1,6,,0.0
annealing,knn,ratiorange,135,0.00952,663,0.47179,233472,0.91252,3,507,0.9016100178890877,0.9940828402366864
annealing,knn,ratiorange,135,0.00952,663,0.47179,233472,0.91252,2,75,0.9512195121951219,0.52
annealing,knn,ratiorange,135,0.00952,663,0.47179,233472,0.91252,U,27,0.9473684210526315,0.6666666666666666
