dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,svm,ratiorange,111,0.01304,687,0.104,49152,0.97525,1,7,,0.0
annealing,svm,ratiorange,111,0.01304,687,0.104,49152,0.97525,3,521,0.9719101123595506,0.9961612284069098
annealing,svm,ratiorange,111,0.01304,687,0.104,49152,0.97525,2,80,0.9733333333333334,0.9125
annealing,svm,ratiorange,111,0.01304,687,0.104,49152,0.97525,U,28,1.0,0.9642857142857143
annealing,svm,ratiorange,111,0.01304,687,0.104,49152,0.97525,4,0,,
annealing,svm,ratiorange,111,0.01304,687,0.104,49152,0.97525,5,51,1.0,1.0
annealing,svm,ratiorange,119,0.01649,679,0.10271,49152,0.98085,1,7,,0.0
annealing,svm,ratiorange,119,0.01649,679,0.10271,49152,0.98085,3,516,0.9772296015180265,0.998062015503876
annealing,svm,ratiorange,119,0.01649,679,0.10271,49152,0.98085,2,79,0.9868421052631579,0.9493670886075949
annealing,svm,ratiorange,119,0.01649,679,0.10271,49152,0.98085,U,27,1.0,0.9629629629629629
annealing,svm,ratiorange,119,0.01649,679,0.10271,49152,0.98085,4,0,,
annealing,svm,ratiorange,119,0.01649,679,0.10271,49152,0.98085,5,50,1.0,1.0
annealing,svm,ratiorange,127,0.01774,671,0.10051,49152,0.9851,1,6,1.0,0.3333333333333333
annealing,svm,ratiorange,127,0.01774,671,0.10051,49152,0.9851,3,510,0.9826254826254827,0.9980392156862745
annealing,svm,ratiorange,127,0.01774,671,0.10051,49152,0.9851,2,79,0.9868421052631579,0.9493670886075949
annealing,svm,ratiorange,127,0.01774,671,0.10051,49152,0.9851,U,27,1.0,0.9629629629629629
annealing,svm,ratiorange,127,0.01774,671,0.10051,49152,0.9851,4,0,,
annealing,svm,ratiorange,127,0.01774,671,0.10051,49152,0.9851,5,49,1.0,1.0
annealing,svm,ratiorange,135,0.01814,663,0.0998,53248,0.98793,1,6,1.0,0.5
annealing,svm,ratiorange,135,0.01814,663,0.0998,53248,0.98793,3,507,0.9921104536489151,0.9921104536489151
annealing,svm,ratiorange,135,0.01814,663,0.0998,53248,0.98793,2,75,0.9493670886075949,1.0
annealing,svm,ratiorange,135,0.01814,663,0.0998,53248,0.98793,U,27,1.0,0.9629629629629629
annealing,svm,ratiorange,135,0.01814,663,0.0998,53248,0.98793,4,0,,
annealing,svm,ratiorange,135,0.01814,663,0.0998,53248,0.98793,5,48,1.0,1.0
annealing,svm,ratiorange,143,0.02035,655,0.0981,53248,0.98626,1,6,1.0,0.5
annealing,svm,ratiorange,143,0.02035,655,0.0981,53248,0.98626,3,501,0.992,0.9900199600798403
annealing,svm,ratiorange,143,0.02035,655,0.0981,53248,0.98626,2,74,0.9367088607594937,1.0
annealing,svm,ratiorange,143,0.02035,655,0.0981,53248,0.98626,U,27,1.0,0.9629629629629629
annealing,svm,ratiorange,143,0.02035,655,0.0981,53248,0.98626,4,0,,
annealing,svm,ratiorange,143,0.02035,655,0.0981,53248,0.98626,5,47,1.0,1.0
annealing,svm,ratiorange,151,0.01962,647,0.09751,53248,0.98454,1,6,1.0,0.5
annealing,svm,ratiorange,151,0.01962,647,0.09751,53248,0.98454,3,495,0.98989898989899,0.98989898989899
annealing,svm,ratiorange,151,0.01962,647,0.09751,53248,0.98454,2,72,0.9342105263157895,0.9861111111111112
annealing,svm,ratiorange,151,0.01962,647,0.09751,53248,0.98454,U,27,1.0,0.9629629629629629
annealing,svm,ratiorange,151,0.01962,647,0.09751,53248,0.98454,4,0,,
annealing,svm,ratiorange,151,0.01962,647,0.09751,53248,0.98454,5,47,1.0,1.0
annealing,svm,ratiorange,159,0.0224,639,0.09617,53248,0.98905,1,6,1.0,0.5
annealing,svm,ratiorange,159,0.0224,639,0.09617,53248,0.98905,3,489,0.9938524590163934,0.9918200408997955
annealing,svm,ratiorange,159,0.0224,639,0.09617,53248,0.98905,2,72,0.9473684210526315,1.0
annealing,svm,ratiorange,159,0.0224,639,0.09617,53248,0.98905,U,26,1.0,1.0
annealing,svm,ratiorange,159,0.0224,639,0.09617,53248,0.98905,4,0,,
annealing,svm,ratiorange,159,0.0224,639,0.09617,53248,0.98905,5,46,1.0,1.0
annealing,svm,ratiorange,167,0.01998,631,0.09537,57344,0.98732,1,6,1.0,0.5
annealing,svm,ratiorange,167,0.01998,631,0.09537,57344,0.98732,3,482,0.991701244813278,0.991701244813278
annealing,svm,ratiorange,167,0.01998,631,0.09537,57344,0.98732,2,72,0.9466666666666667,0.9861111111111112
