dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,bayes,ratiorange,103,0.00414,695,0.21473,24576,0.88921,5,52,1.0,1.0
annealing,bayes,ratiorange,111,0.00434,687,0.21407,24576,0.87918,1,7,0.0,0.0
annealing,bayes,ratiorange,111,0.00434,687,0.21407,24576,0.87918,3,521,0.9606625258799172,0.8905950095969289
annealing,bayes,ratiorange,111,0.00434,687,0.21407,24576,0.87918,2,80,0.8591549295774648,0.7625
annealing,bayes,ratiorange,111,0.00434,687,0.21407,24576,0.87918,U,28,0.345679012345679,1.0
annealing,bayes,ratiorange,111,0.00434,687,0.21407,24576,0.87918,4,0,,
annealing,bayes,ratiorange,111,0.00434,687,0.21407,24576,0.87918,5,51,1.0,1.0
annealing,bayes,ratiorange,119,0.00456,679,0.21568,24576,0.86745,1,7,0.0,0.0
annealing,bayes,ratiorange,119,0.00456,679,0.21568,24576,0.86745,3,516,0.9518828451882845,0.8817829457364341
annealing,bayes,ratiorange,119,0.00456,679,0.21568,24576,0.86745,2,79,0.76,0.7215189873417721
annealing,bayes,ratiorange,119,0.00456,679,0.21568,24576,0.86745,U,27,0.36,1.0
annealing,bayes,ratiorange,119,0.00456,679,0.21568,24576,0.86745,4,0,,
annealing,bayes,ratiorange,119,0.00456,679,0.21568,24576,0.86745,5,50,1.0,1.0
annealing,bayes,ratiorange,127,0.00513,671,0.20959,24576,0.87779,1,6,0.14285714285714285,0.3333333333333333
annealing,bayes,ratiorange,127,0.00513,671,0.20959,24576,0.87779,3,510,0.9498956158663883,0.8921568627450981
annealing,bayes,ratiorange,127,0.00513,671,0.20959,24576,0.87779,2,79,0.8235294117647058,0.7088607594936709
annealing,bayes,ratiorange,127,0.00513,671,0.20959,24576,0.87779,U,27,0.4426229508196721,1.0
annealing,bayes,ratiorange,127,0.00513,671,0.20959,24576,0.87779,4,0,,
annealing,bayes,ratiorange,127,0.00513,671,0.20959,24576,0.87779,5,49,1.0,1.0
annealing,bayes,ratiorange,135,0.00506,663,0.20479,24576,0.91252,1,6,0.2857142857142857,0.3333333333333333
annealing,bayes,ratiorange,135,0.00506,663,0.20479,24576,0.91252,3,507,0.9829059829059829,0.9072978303747534
annealing,bayes,ratiorange,135,0.00506,663,0.20479,24576,0.91252,2,75,0.8717948717948718,0.9066666666666666
annealing,bayes,ratiorange,135,0.00506,663,0.20479,24576,0.91252,U,27,0.43548387096774194,1.0
annealing,bayes,ratiorange,135,0.00506,663,0.20479,24576,0.91252,4,0,,
annealing,bayes,ratiorange,135,0.00506,663,0.20479,24576,0.91252,5,48,1.0,1.0
annealing,bayes,ratiorange,143,0.00517,655,0.20206,24576,0.92977,1,6,0.4,0.3333333333333333
annealing,bayes,ratiorange,143,0.00517,655,0.20206,24576,0.92977,3,501,0.9872340425531915,0.9261477045908184
annealing,bayes,ratiorange,143,0.00517,655,0.20206,24576,0.92977,2,74,0.8625,0.9324324324324325
annealing,bayes,ratiorange,143,0.00517,655,0.20206,24576,0.92977,U,27,0.5094339622641509,1.0
annealing,bayes,ratiorange,143,0.00517,655,0.20206,24576,0.92977,4,0,,
annealing,bayes,ratiorange,143,0.00517,655,0.20206,24576,0.92977,5,47,1.0,1.0
annealing,bayes,ratiorange,151,0.0054,647,0.20203,24576,0.94281,1,6,0.4,0.3333333333333333
annealing,bayes,ratiorange,151,0.0054,647,0.20203,24576,0.94281,3,495,0.9873150105708245,0.9434343434343434
annealing,bayes,ratiorange,151,0.0054,647,0.20203,24576,0.94281,2,72,0.8589743589743589,0.9305555555555556
annealing,bayes,ratiorange,151,0.0054,647,0.20203,24576,0.94281,U,27,0.6136363636363636,1.0
annealing,bayes,ratiorange,151,0.0054,647,0.20203,24576,0.94281,4,0,,
annealing,bayes,ratiorange,151,0.0054,647,0.20203,24576,0.94281,5,47,1.0,1.0
annealing,bayes,ratiorange,159,0.00564,639,0.19634,24576,0.92488,1,6,0.5,0.3333333333333333
annealing,bayes,ratiorange,159,0.00564,639,0.19634,24576,0.92488,3,489,0.9868421052631579,0.9202453987730062
annealing,bayes,ratiorange,159,0.00564,639,0.19634,24576,0.92488,2,72,0.8589743589743589,0.9305555555555556
annealing,bayes,ratiorange,159,0.00564,639,0.19634,24576,0.92488,U,26,0.4727272727272727,1.0
annealing,bayes,ratiorange,159,0.00564,639,0.19634,24576,0.92488,4,0,,
annealing,bayes,ratiorange,159,0.00564,639,0.19634,24576,0.92488,5,46,1.0,1.0
annealing,bayes,ratiorange,167,0.00626,631,0.1943,24576,0.91918,1,6,0.4,0.3333333333333333
annealing,bayes,ratiorange,167,0.00626,631,0.1943,24576,0.91918,3,482,0.9865470852017937,0.9128630705394191
annealing,bayes,ratiorange,167,0.00626,631,0.1943,24576,0.91918,2,72,0.8589743589743589,0.9305555555555556
annealing,bayes,ratiorange,167,0.00626,631,0.1943,24576,0.91918,U,26,0.45614035087719296,1.0
annealing,bayes,ratiorange,167,0.00626,631,0.1943,24576,0.91918,4,0,,
annealing,bayes,ratiorange,167,0.00626,631,0.1943,24576,0.91918,5,45,1.0,1.0
annealing,bayes,ratiorange,175,0.00609,623,0.19353,24576,0.92135,1,6,0.4,0.3333333333333333
annealing,bayes,ratiorange,175,0.00609,623,0.19353,24576,0.92135,3,477,0.9886621315192744,0.9140461215932913
annealing,bayes,ratiorange,175,0.00609,623,0.19353,24576,0.92135,2,71,0.8701298701298701,0.9436619718309859
annealing,bayes,ratiorange,175,0.00609,623,0.19353,24576,0.92135,U,26,0.45614035087719296,1.0
annealing,bayes,ratiorange,175,0.00609,623,0.19353,24576,0.92135,4,0,,
